Preguntas,Categoría,Respuesta,Respuesta Mejorada, 
¿Dónde están ubicadas las aulas?,Cursado,"Las aulas D están ubicadas en las Baterías D: https://maps.app.goo.gl/r9WvtssCXKBm5pFR7
Las aulas A están ubicadas en las Baterías A: https://maps.app.goo.gl/NNVVoSNEnhuu5URT7
Las aulas C están ubicadas en: https://maps.app.goo.gl/VmdhSHiRMSpmjrhA8
Las aulas R están ubicadas dentro del pabellón de los reformistas: https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9
Las aulas solo con número están ubicadas en el Edificio de FAMAF: https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6","¡Acá te dejo los links para que encuentres las aulas sin problema! 📍

📌 **Aulas D**: Están en las Baterías D 🏢 → https://maps.app.goo.gl/r9WvtssCXKBm5pFR7

📌 **Aulas A**: Están en las Baterías A 🏢 → https://maps.app.goo.gl/NNVVoSNEnhuu5URT7

📌 **Aulas C**: Son de de uso común 📌 → https://maps.app.goo.gl/VmdhSHiRMSpmjrhA8

📌 **Aulas R**: Están dentro del pabellón de los reformistas 🏛️ → https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9

📌 **Aulas solo con número**: Están en el Edificio de FAMAF 🏛️ → https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6",
¿En qué aula se cursa una materia?,Cursado,El aula de cursado de cada materia está publicada en el siguiente enlace: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/,"El aula donde se cursa cada materia está publicada acá 😊: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/

👀 Tené en cuenta que a veces puede haber cambios de último momento, así que siempre es bueno confirmar antes de ir. 😉",
¿En qué horarios se cursa una materia?,Cursado,"Los horarios de cursado de las materias están disponibles en el siguiente enlace:
https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/",Los horarios de cursado de las materias los podés ver acá 😊: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/,
¿Cómo puedo inscribirme en el Régimen Especial de Cursado (RE)?,Cursado,"Para inscribirte al Régimen Especial de Cursado (RE) es necesario completar el siguiente formulario:

https://forms.gle/EYCtgdb5Ld6tHNjT9

El formulario es para realizar la inscripción al Régimen Especial de cursado correspondiente al cuatrimestre que estés cursando.

El proceso de inclusión del estudiante al RE no es automático, sino que se revisará la documentación enviada y se confeccionará un Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE). Luego de que se realice este proceso, recibirán un mail confirmando su inscripción al régimen y explicando los pasos para la entrega del CUREE.

Desde ese entonces, los estudiantes deberán inscribirse a las materias y turnos elegidos a través del sistema GUARANÍ. En caso de que el sistema no lo permita por saturación de una comisión, pueden comunicarse con Despacho de Estudiantes de lunes a viernes de 9 a 14 horas o a través del correo despachoestudiantes@famaf.unc.edu.ar presentando el CUREE y solicitando ser inscripto/a en las comisiones elegidas (derecho que solo puede hacerse valer durante los períodos de inscripción de las materias).

Cualquier otra duda consultar con la Secretaría de Asuntos Estudiantiles al email.","Para anotarte en el Régimen Especial de Cursado (RE), tenés que completar este formulario:

📝 https://forms.gle/EYCtgdb5Ld6tHNjT9
 
📌 Es para el cuatrimestre que estás cursando actualmente.

⚠️ Ojo: la inscripción no es automática. Nosotros revisamos la info que mandes y generamos un Certificado Único de Régimen de Excepciones (CUREE). Cuando esté listo, te mandamos un mail confirmando tu inscripción y explicando cómo entregar el CUREE.

💡 Una vez que tengas el CUREE, podés inscribirte a las materias y turnos que elegiste en el sistema GUARANÍ. Si no podés porque la comisión está llena, avisanos a Despacho de Estudiantes (de lunes a viernes de 9 a 14 hs) o mandanos un mail a despachoestudiantes@famaf.unc.edu.ar con el CUREE y pedí que te inscriban en las comisiones que querés (solo podés hacerlo en los períodos de inscripción).

📧 Si tenés más dudas, escribinos a la Secretaría de Asuntos Estudiantiles. ¡Estamos para ayudarte! 😊",
¿Qué es el Régimen Especial de Cursado (RE)?,Cursado,"El Régimen Especial de Cursado (RE) permite a los/as estudiantes que se encuentren en situación de trabajo, enfermedad o embarazo y/o que tengan persona/s a cargo, acceder a los siguientes derechos:

1. Eximición del requisito de asistencia a clase para regularizar o promocionar una materia.
2. Eximición del requisito de asistir a los laboratorios, excepto cuando estas actividades sean necesariamente presenciales.
3. Posibilidad de rendir los parciales en un día y horario especial.
4. Prioridad para la elección de la comisión de cursada al momento de la inscripción del cuatrimestre.","El Régimen Especial de Cursado (RE) 📚 está pensado para estudiantes que están trabajando, pasando por una enfermedad, embarazo o tienen personas a cargo. Con este régimen, podés acceder a estos derechos:

1. No tenés que cumplir con el requisito de asistencia para regularizar o promocionar una materia. 🎉
2. No necesitás asistir a los laboratorios, salvo que sean actividades presenciales obligatorias. 🔬
3. Podés rendir los parciales en un día y horario especial. 📅
4. Tenés prioridad para elegir la comisión de cursada al momento de inscribirte. 📝

¡Espero que te ayude! 😊",
¿Cómo es el trámite para solicitar el diploma digital?,Cursado,"La solicitud de la certificación se realiza desde el Sistema Guaraní, los pasos están detallados en el siguiente instructivo:
https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing","Para pedir tu diploma digital 🎓, tenés que entrar al Sistema Guaraní y seguir los pasos que están explicados en este instructivo: https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing",
¿En qué aula tengo que rendir un examen final?,Exámenes,Las aulas designadas para rendir una materia son informadas unos días antes de la fecha de examen a través de la página web del Despacho de Estudiantes de FAMAF: https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-Estudiantes-informa/,"El aula para tu examen final se anuncia unos días antes en la web del Despacho de Estudiantes de FAMAF.

🔗 Entrá acá para ver la info: https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-Estudiantes-informa/

⚠️ ¡No te olvides de revisar la página antes del examen! 😉",
¿Cuál es el Calendario Académico 2026?,Información General,"Los Calendarios Académicos de todos los años los podes encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/

Allí vas a encontrar información sobre los períodos de cursado, las épocas de exámenes y las fechas de las colaciones correspondientes al año.","El calendario académico del 2026 📅 (y de otros años) lo podés encontrar acá:

🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/

📌 Ahí vas a ver todo lo importante: cuándo empiezan y terminan las clases, las fechas de los exámenes y hasta las colaciones.",
¿Qué requisitos piden para la equivalencia externa si vengo de otra facultad y quiero cambiarme a FAMAF?,Ingreso,"En caso de que desees ingresar a FAMAF desde otra factulad, tenés que iniciar un trámite por email y pedir equivalencias de materias.

La recepción de solicitudes es desde el 1 de agosto al 31 de octubre y el resultado será entregado a comienzos del año siguiente para que puedas comenzar en FAMAF en marzo del año siguiente (una vez que te llegue el correo de confirmación). 

Para las equivalencias de materias no hay una tabla fija, ás bien cada caso se evalúa con una Comision Asesora de Equivalencias, contando también el Curso de Nivelación como cualquier otra materia.

La documentación requerida para este trámite se deve enviar vía email a oficialia@famaf.unc.edu.ar y consiste de:
1. Documentación Académica:
  - Certificado Analítico Oficial con notas, fechas de aprobación y constancia de aplazos.
  - Certificado de sanciones disciplinarias, indicando si tuvise o no.
  - Certificado de cancelación de matrícula, solo si la carrera es de igual nombre.
  - Programas oficiales legalizados de las materias aprobadas, con carga horaria, contenidos, trabajos o laboratorios y bibliografía.
  - Escala de calificaciones de tu institución de origen.
  - Plan de estudios de la carrera que cursaste.
  - Resolución ministerial que de validez nacional a la carrera.

2. Documentación Personal
  - Certificado de estudios secundarios completos, legalizado por la Oficialía Mayor de la UNC (https://www.unc.edu.ar/oficialia-mayor).
  - DNI (frente y dorso).
  - Constancia de CUIL.

Además de una nota dirigida al decano junto con los requisitos, en el siguiente enlace podes encontrar un modelo orentativo: https://tinyurl.com/equivalencias-externas-FAMAF

IMPORTANTE:
- Si el estudiante ya es alumno de FAMAF, debe aclararlo en la nota y en ese caso, el trámite puede presentarse en cualquier día del año. 
- Si querés ingresar a dos o más carreras, tenes que hacer un trámite separado para cada carrera.","Si venís de otra facultad y querés cambiarte a FAMAF, acá te explico cómo hacer el trámite de equivalencias de materias.

📅 **Plazos**: Podés enviar tu solicitud desde el **1 de agosto al 31 de octubre**. El resultado lo vas a recibir a comienzos del año siguiente, para que puedas empezar en FAMAF en **marzo** (una vez que te confirmen por correo).

🔍 **Evaluación**: No hay una tabla fija de equivalencias. Cada caso se evalúa con una **Comisión Asesora de Equivalencias**, y el **Curso de Nivelación** también se tiene en cuenta como cualquier otra materia.

📄 **Documentación necesaria**:
1. **Documentación Académica**:
   - Certificado Analítico Oficial con notas, fechas de aprobación y constancia de aplazos.
   - Certificado de sanciones disciplinarias (si las hay).
   - Certificado de cancelación de matrícula (solo si la carrera es de igual nombre).
   - Programas oficiales legalizados de las materias aprobadas (con carga horaria, contenidos, trabajos o laboratorios y bibliografía).
   - Escala de calificaciones de tu institución de origen.
   - Plan de estudios de la carrera que cursaste.
   - Resolución ministerial que de validez nacional a la carrera.

2. **Documentación Personal**:
   - Certificado de estudios secundarios completos, legalizado por la Oficialía Mayor de la UNC (https://www.unc.edu.ar/oficialia-mayor).
   - DNI (frente y dorso).
   - Constancia de CUIL.

📝 Además, tenés que incluir una **nota dirigida al decano** junto con los requisitos. En este link encontrarás un modelo orientativo: https://tinyurl.com/equivalencias-externas-FAMAF

⚠️ **Importante**:
- Si ya sos alumno de FAMAF, aclaralo en la nota. En ese caso, podés hacer el trámite en cualquier momento del año.
- Si querés ingresar a dos o más carreras, tenés que hacer un trámite separado para cada una.

📧 Enviá toda esta documentación a **oficialia@famaf.unc.edu.ar**.",
¿Cómo hacer la preinscripción para el curso de nivelación intensivo 2026 de FAMAF?,Ingreso,"La preinscripción al Curso de Nivelación intensivo de FAMAF se encuentra abierta desde el 3 de noviembre hasta el 12 de diciembre de 2025. Este se dictará durante enero y febrero del año 2026, para los que deseen ingresar a una carrera en FAMAF en 2026.

Para inscribirte necesitás tener un usuario en Sistema Guaraní; en caso de que no tengas, podés solicitarlo mediante el siguiente formulario:
https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés un usuario en sistema Guaraní, tenés que ingresar y seguir los pasos del siguiente video-tutorial:

https://www.youtube.com/watch?v=deQuWbJnEDU

En caso de que seas alumno extranjero deberás seguir los pasos del siguiente instructivo:

https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0","Si estás pensando en hacer el Curso de Nivelación intensivo de FAMAF para ingresar en 2026, acá tenés toda la info:

📅 **Fechas clave:**
- **Preinscripción:** Desde el 3 de noviembre hasta el 12 de diciembre de 2025.
- **Curso:** Se dicta en enero y febrero de 2026.

📌 **Pasos para preinscribirte:**
1️⃣ Necesitás tener un usuario en **Sistema Guaraní**. Si no lo tenés, crealo acá: https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

2️⃣ Si ya tenés usuario, ingresá y seguí este video-tutorial paso a paso: https://www.youtube.com/watch?v=deQuWbJnEDU

3️⃣ Si sos alumno extranjero, seguí este instructivo: https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0",
